name,state,circuit,lang
Allingtown - West Haven CT,Connecticut,,en
Beardsley Park - Bridgeport CT,Connecticut,,en
Berlin - CT,Connecticut,,en
Bethel - CT,Connecticut,,en
Branford - CT,Connecticut,,en
Canton - CT,Connecticut,,en
Cedar Spanish - Branford CT,Connecticut,,es
Central - Hartford CT,Connecticut,,en
Central - New Britain CT,Connecticut,,en
Central English - Stamford CT,Connecticut,,en
Central Haitian Creole - Norwich CT,Connecticut,,ht
Central Mandarin Chinese - Wethersfield CT,Connecticut,,ch
Central Spanish - New Haven CT,Connecticut,,es
Central Spanish - Stamford CT,Connecticut,,es
City Point - New Haven CT,Connecticut,,en
Colchester - CT,Connecticut,,en
Columbia - CT,Connecticut,,en
Cranbury Park - Norwalk CT,Connecticut,,en
Danielson - CT,Connecticut,,en
Danielson CT,Connecticut,,en
East - Bristol CT,Connecticut,,en
East - Naugatuck CT,Connecticut,,en
East - Stamford CT,Connecticut,,en
East English - Danbury CT,Connecticut,,en
East English - Waterbury CT,Connecticut,,en
East Rock - New Haven CT,Connecticut,,en
East Shore - East Haven CT,Connecticut,,en
East Spanish - Danbury CT,Connecticut,,es
East Spanish - Norwalk CT,Connecticut,,es
East Twi - Hartford CT,Connecticut,,tw
Enfield - CT,Connecticut,,en
English - East Hartford CT,Connecticut,,en
English - New London CT,Connecticut,,en
English - Norwich CT,Connecticut,,en
English - Shelton CT,Connecticut,,en
English - Trumbull CT,Connecticut,,en
English - Willimantic CT,Connecticut,,en
Fairfield - CT,Connecticut,,en
French - New Haven CT,Connecticut,,fr
Granby - CT,Connecticut,,en
Groton - CT,Connecticut,,en
Haitian Creole - Bridgeport CT,Connecticut,,ht
Haitian Creole - Stamford CT,Connecticut,,ht
Hartford Haitian Creole - Hartford CT,Connecticut,,ht
Highland Spanish - Waterbury CT,Connecticut,,es
Huntington Spanish - Bridgeport CT,Connecticut,,es
Italian - Hartford CT,Connecticut,,it
Jewett City - CT,Connecticut,,en
Lake Forest - Bridgeport CT,Connecticut,,en
Lake Whitney - Hamden CT,Connecticut,,en
Lakewood Spanish - Waterbury CT,Connecticut,,es
Manchester - CT,Connecticut,,en
Mystic - CT,Connecticut,,en
New Fairfield - CT,Connecticut,,en
Newington - CT,Connecticut,,en
Noble Spanish - Bridgeport CT,Connecticut,,es
North - Bloomfield CT,Connecticut,,en
North - Meriden CT,Connecticut,,en
North - Middletown CT,Connecticut,,en
North - New Britain CT,Connecticut,,en
North - New Milford CT,Connecticut,,en
North - Waterbury CT,Connecticut,,en
North English - Hartford CT,Connecticut,,en
North Jamaican Creole - Hartford CT,Connecticut,,jam
North Spanish - Hartford CT,Connecticut,,es
North Spanish - New Britain CT,Connecticut,,es
Orange - CT,Connecticut,,en
Paradise Green - Stratford CT,Connecticut,,en
Plainfield - CT,Connecticut,,en
Plainville - CT,Connecticut,,en
Plymouth - CT,Connecticut,,en
Polish - New Britain CT,Connecticut,,pl
Portuguese - Bridgeport CT,Connecticut,,pt
Portuguese - Danbury CT,Connecticut,,pt
Portuguese - Naugatuck CT,Connecticut,,pt
Preston - CT,Connecticut,,en
Putnam - CT,Connecticut,,en
Putnam CT,Connecticut,,en
Seaside - Bridgeport CT,Connecticut,,en
Shelter Rock - Danbury CT,Connecticut,,en
Sign Language - Bridgeport CT,Connecticut,,ase
Soundview - Norwalk CT,Connecticut,,en
South - Meriden CT,Connecticut,,en
South - Middletown CT,Connecticut,,en
South - New Milford CT,Connecticut,,en
South - Stratford CT,Connecticut,,en
South - Waterbury CT,Connecticut,,en
South English - Hartford CT,Connecticut,,en
South Spanish - Danbury CT,Connecticut,,es
South Spanish - Hartford CT,Connecticut,,es
South Spanish - New Britain CT,Connecticut,,es
South Windsor - CT,Connecticut,,en
Spanish - Bristol CT,Connecticut,,es
Spanish - East Hartford CT,Connecticut,,es
Spanish - Meriden CT,Connecticut,,es
Spanish - New London CT,Connecticut,,es
Spanish - Shelton CT,Connecticut,,es
Spanish - West Haven CT,Connecticut,,es
Spanish - Willimantic CT,Connecticut,,es
Spring Hill Korean - Trumbull CT,Connecticut,,ko
Stafford Springs - CT,Connecticut,,en
Stafford Springs CT,Connecticut,,en
Stonington - CT,Connecticut,,en
Torringford Spanish - Torrington CT,Connecticut,,es
Torrington - CT,Connecticut,,en
Vernon - CT,Connecticut,,en
Wallingford - CT,Connecticut,,en
Warehouse Point - CT,Connecticut,,en
Waterside Spanish - Stamford CT,Connecticut,,es
Waterville - Waterbury CT,Connecticut,,en
West - Bristol CT,Connecticut,,en
West - Naugatuck CT,Connecticut,,en
West - Seymour CT,Connecticut,,en
West - Stamford CT,Connecticut,,en
West English - Danbury CT,Connecticut,,en
West English - Waterbury CT,Connecticut,,en
West Hartford - CT,Connecticut,,en
West River Swahili - New Haven CT,Connecticut,,sw
West Rock - New Haven CT,Connecticut,,en
West Sign Language - Hartford CT,Connecticut,,ase
West Spanish - Bridgeport CT,Connecticut,,es
West Spanish - Danbury CT,Connecticut,,es
West Spanish - Hartford CT,Connecticut,,es
West Spanish - Norwalk CT,Connecticut,,es
Westbrook - CT,Connecticut,,en
Wethersfield - CT,Connecticut,,en
Windsor - CT,Connecticut,,en
Winsted - CT,Connecticut,,en
Wintergreen Hills - Hamden CT,Connecticut,,en
Woodbury - CT,Connecticut,,en
Woodin Hill Spanish - Hamden CT,Connecticut,,es
Woodmont - Milford CT,Connecticut,,en
West Sign Language - Hartford CT,Conneticut,NY-42-B-ASL,ase
Brandywine - Wilmington DE,Delaware,,en
Central Mandarin Chinese - Wilmington DE,Delaware,,ch
Christiana - Newark DE,Delaware,,en
Christiana Jamaican Creole - Newark DE,Delaware,,jam
Christiana Sign Language - Newark DE,Delaware,,ase
Claymont Spanish - Wilmington DE,Delaware,,es
Clayton - DE,Delaware,,en
English - Dagsboro DE,Delaware,,en
English - Milford DE,Delaware,,en
Felton - DE,Delaware,,en
Georgetown - DE,Delaware,,en
Iron Hill - Newark DE,Delaware,,en
Korean Group - Penny Hill - Wilmington DE,Delaware,,ko
Limestone - Newark DE,Delaware,,en
Manor Park - New Castle DE,Delaware,,en
Mill Creek - Wilmington DE,Delaware,,en
Milltown Spanish - Wilmington DE,Delaware,,es
Newark Spanish - Wilmington DE,Delaware,,es
North - Dover DE,Delaware,,en
North - New Castle DE,Delaware,,en
North - Wilmington DE,Delaware,,en
North Haitian Creole - Seaford DE,Delaware,,ht
Nottingham - Newark DE,Delaware,,en
Penny Hill - Wilmington DE,Delaware,,en
Pike Creek - Wilmington DE,Delaware,,en
Red Lion - Bear DE,Delaware,,en
Smyrna - DE,Delaware,,en
South - Dover DE,Delaware,,en
South - New Castle DE,Delaware,,en
South - Wilmington DE,Delaware,,en
Spanish - Bear DE,Delaware,,es
Spanish - Dagsboro DE,Delaware,,es
Spanish - Dover DE,Delaware,,es
Spanish - Milford DE,Delaware,,es
White Clay - Newark DE,Delaware,,en
Airport French - Auburn ME,Maine,,fr
Albion - ME,Maine,,en
Auburn - ME,Maine,,en
Back Cove Lingala - Portland ME,Maine,,ln
Bangor - ME,Maine,,en
Bar Harbor - ME,Maine,,en
Bath - ME,Maine,,en
Belfast - ME,Maine,,en
Bucksport - ME,Maine,,en
Buxton - ME,Maine,,en
Calais - ME,Maine,,en
Caribou - ME,Maine,,en
Casco Bay French - Portland ME,Maine,,fr
Central - Portland ME,Maine,,en
Corinna - ME,Maine,,en
East - Augusta ME,Maine,,en
Ellsworth - ME,Maine,,en
English - Brunswick ME,Maine,,en
Fairfield - ME,Maine,,en
Farmington - ME,Maine,,en
Fort Kent - ME,Maine,,en
Houlton - ME,Maine,,en
Kennebunk - ME,Maine,,en
Kittery - ME,Maine,,en
Lewiston - ME,Maine,,en
Limington - ME,Maine,,en
Lincoln - ME,Maine,,en
Lisbon Portuguese - Lewiston ME,Maine,,pt
Machias - ME,Maine,,en
Milo - ME,Maine,,en
Monmouth - ME,Maine,,en
Newcastle - ME,Maine,,en
North Windham - ME,Maine,,en
North Yarmouth - ME,Maine,,en
Norway - ME,Maine,ME-3,en
Oaks Park Portuguese - Portland ME,Maine,,pt
Old Town - ME,Maine,,en
Pittsfield - ME,Maine,,en
Presque Isle - ME,Maine,,en
Rockland - ME,Maine,,en
Rumford - ME,Maine,,en
Saco - ME,Maine,,en
Sanford - ME,Maine,,en
Searsport - ME,Maine,,en
Skowhegan - ME,Maine,,en
South Portland - ME,Maine,,en
Spanish - Portland ME,Maine,,es
Springvale - ME,Maine,,en
Steuben - ME,Maine,,en
Thomaston - ME,Maine,,en
Waterville - ME,Maine,,en
West - Augusta ME,Maine,,en
West - Portland ME,Maine,,en
Back Creek - Elkton MD,Maryland,,en
Catoctin - Frederick MD,Maryland,,en
Central French - Frederick MD,Maryland,,fr
Cumberland - MD,Maryland,,en
East - Bel Air MD,Maryland,,en
East - Reisterstown MD,Maryland,,en
Elkton - MD,Maryland,,en
English - Owings Mills MD,Maryland,,en
Freeland - MD,Maryland,,en
Frostburg - MD,Maryland,,en
Glade Valley - Frederick MD,Maryland,,en
Grantsville - MD,Maryland,,en
Harford Spanish - Bel Air MD,Maryland,,es
McCoole - MD,Maryland,,en
North - Bel Air MD,Maryland,,en
Oakland - MD,Maryland,,en
Orchard Hills - Hagerstown MD,Maryland,,en
Pleasant Valley - Hagerstown MD,Maryland,,en
Rising Sun - MD,Maryland,,en
Spanish - Frederick MD,Maryland,,es
Spanish - Owings Mills MD,Maryland,,es
Washington Spanish - Hagerstown MD,Maryland,,es
West - Bel Air MD,Maryland,,en
West - Frederick MD,Maryland,,en
West - Reisterstown MD,Maryland,,en
Westminster - MD,Maryland,,en
Acres - Springfield MA,Massachusetts,MA-9,en
Amesbury - MA,Massachusetts,ME-2,en
Amherst - MA,Massachusetts,MA-3,en
Attleboro - MA,Massachusetts,,en
Berkley - MA,Massachusetts,,en
Berkshire Spanish - Pittsfield MA,Massachusetts,,es
Blue Hills - Boston MA,Massachusetts,MA-2,en
Bridgewater - MA,Massachusetts,MA-2,en
Brighton - Boston MA,Massachusetts,MA-2,en
Burlington - MA,Massachusetts,MA-1,en
Burncoat - Worcester MA,Massachusetts,MA-13,en
Cambodian - Lowell MA,Massachusetts,NH-1-B-CB,bas
Cambridge - MA,Massachusetts,MA-1,en
Canton Haitian Creole - Stoughton MA,Massachusetts,MA-14-CR,ht
Central - Brockton MA,Massachusetts,MA-11,en
Central - Leominster MA,Massachusetts,MA-13,en
Central - Worcester MA,Massachusetts,MA-13,en
Central Armenian - Boston MA,Massachusetts,NY-45-U,hy
Central French - Boston MA,Massachusetts,NY-20-F,fr
Central Haitian Creole - Boston MA,Massachusetts,MA-14-CR,ht
Central Haitian Creole - New Bedford MA,Massachusetts,MA-14-CR,ht
Central Kabuverdianu - Boston MA,Massachusetts,MA-7-B-KBV,kea
Central Kabuverdianu - New Bedford MA,Massachusetts,MA-7-B-KBV,kea
Central Mandarin Chinese - Boston MA,Massachusetts,NY-44-A-CHM,ch
Central Portuguese - Leominster MA,Massachusetts,MA-7-A-T,pt
Central Spanish - Boston MA,Massachusetts,MA-6-S,es
Central Spanish - Lawrence MA,Massachusetts,MA-10-S,es
Chelmsford - MA,Massachusetts,NH-1-A,en
College Square - Springfield MA,Massachusetts,MA-9,en
County Sign Language - New Bedford MA,Massachusetts,NY-42-B-ASL,ase
Cummins - Boston MA,Massachusetts,MA-2,en
Dighton - MA,Massachusetts,MA-11,en
Dorchester Haitian Creole - Boston MA,Massachusetts,,ht
Dorchester Kabuverdianu - Boston MA,Massachusetts,MA-7-B-KBV,kea
Dorchester Spanish - Boston MA,Massachusetts,MA-6-S,es
Douglas - MA,Massachusetts,MA-13,en
East - Chicopee MA,Massachusetts,MA-9,en
East - Lynn MA,Massachusetts,MA-1,en
East - Westfield MA,Massachusetts,MA-3,en
East Boston Spanish - Boston MA,Massachusetts,MA-10-S,es
East Campello - Brockton MA,Massachusetts,MA-11,en
East Kabuverdianu - Brockton MA,Massachusetts,MA-7-B-KBV,kea
East Longmeadow - Springfield MA,Massachusetts,MA-9,en
Eastham - MA,Massachusetts,MA-8,en
English - Ashland MA,Massachusetts,MA-13,en
English - Buzzards Bay MA,Massachusetts,MA-8,en
English - Fitchburg MA,Massachusetts,NH-1-A,en
English - Holyoke MA,Massachusetts,MA-3,en
English - Lawrence MA,Massachusetts,MA-1,en
English - Methuen MA,Massachusetts,ME-2,en
English - New Bedford MA,Massachusetts,MA-8,en
English - Newton MA,Massachusetts,MA-2,en
English - Northborough MA,Massachusetts,,en
English - Northbourough MA,Massachusetts,MA-13,en
English - Peabody MA,Massachusetts,MA-1,en
English - Revere MA,Massachusetts,MA-1,en
English - Saugus MA,Massachusetts,MA-1,en
English - Somerville MA,Massachusetts,MA-1,en
English - Taunton MA,Massachusetts,,en
Fairhaven - MA,Massachusetts,MA-8,en
Feeding Hills - Agawam MA,Massachusetts,MA-3,en
Feeding Hills Spanish - Agawam MA,Massachusetts,MA-15-S,es
Fellsway Spanish - Stoneham MA,Massachusetts,MA-10-S,es
Forest Park - Springfield MA,Massachusetts,MA-9,en
Franklin - MA,Massachusetts,MA-11,en
Franklin Field - Boston MA,Massachusetts,MA-2,en
Gardner - MA,Massachusetts,NH-1-A,en
Gloucester - MA,Massachusetts,MA-1,en
Great Barrington - MA,Massachusetts,MA-3,en
Greenfield - MA,Massachusetts,MA-3,en
Haitian Creole - Brockton MA,Massachusetts,MA-14-CR,ht
Haitian Creole - Lynn MA,Massachusetts,,ht
Haitian Creole - Mattapan MA,Massachusetts,MA-14-CR,ht
Haitian Creole - Somerville MA,Massachusetts,MA-14-CR,ht
Haitian Creole Group - Central - Leominster MA,Massachusetts,,ht
Harwich - MA,Massachusetts,MA-8,en
Highlands - Lowell MA,Massachusetts,NH-1-A,en
Holbrook - MA,Massachusetts,MA-2,en
Hopedale - MA,Massachusetts,,en
Hyannis - MA,Massachusetts,MA-8,en
Hyde Park - Boston MA,Massachusetts,MA-2,en
Italian - Boston MA,Massachusetts,CT-3-B-I,it
Jackson Spanish - Lawrence MA,Massachusetts,MA-10-S,es
Jamaica Plain English - Boston MA,Massachusetts,MA-2,en
Jamaica Plain Spanish - Boston MA,Massachusetts,MA-6-S,es
Lee - MA,Massachusetts,MA-3,en
Leicester - MA,Massachusetts,MA-13,en
Lexington - MA,Massachusetts,MA-1,en
Liberty Heights - Springfield MA,Massachusetts,MA-9,en
Ludlow - MA,Massachusetts,MA-9,en
Malden - MA,Massachusetts,MA-1,en
Mansfield - MA,Massachusetts,MA-11,en
Martha's Vineyard - MA,Massachusetts,MA-8,en
Martha's Vineyard MA,Massachusetts,,en
Mashpee - MA,Massachusetts,MA-8,en
Mattapan - Boston MA,Massachusetts,MA-2,en
Maynard - MA,Massachusetts,NH-1-A,en
Metropolitan - Boston MA,Massachusetts,MA-1,en
Middleboro - MA,Massachusetts,MA-8,en
Mount Tom Spanish - Holyoke MA,Massachusetts,MA-15-S,es
Nantucket - MA,Massachusetts,MA-8,en
Newburyport - MA,Massachusetts,ME-2,en
North - Fall River MA,Massachusetts,MA-8,en
North - Haverhill MA,Massachusetts,ME-2,en
North Adams - MA,Massachusetts,MA-3,en
North Attleboro - MA,Massachusetts,MA-11,en
North Dartmouth - MA,Massachusetts,MA-8,en
North Easton - Stoughton MA,Massachusetts,,en
North English - Springfield MA,Massachusetts,MA-9,en
North Haitian Creole - Lawrence MA,Massachusetts,MA-14-CR,ht
North Haitian Creole - Springfield MA,Massachusetts,,ht
North Kabuverdianu - Taunton MA,Massachusetts,MA-7-B-KBV,kea
North Spanish - Lawrence MA,Massachusetts,MA-10-S,es
Northampton - MA,Massachusetts,MA-3,en
Northbridge - MA,Massachusetts,MA-13,en
Orange - MA,Massachusetts,MA-3,en
Oxford - MA,Massachusetts,MA-13,en
Palmer - MA,Massachusetts,MA-9,en
Parker Spanish - Springfield MA,Massachusetts,MA-15-S,es
Pearl Haitian Creole - Stoughton MA,Massachusetts,MA-14-CR,ht
Pepperell - MA,Massachusetts,NH-1-A,en
Pioneer Valley Swahili - Springfield MA,Massachusetts,NY-50-A-SW,sw
Pittsfield - MA,Massachusetts,MA-3,en
Plymouth - MA,Massachusetts,MA-8,en
Portuguese - Ashland MA,Massachusetts,MA-7-A-T,pt
Portuguese - Fall River MA,Massachusetts,MA-7-A-T,pt
Portuguese - Hyannis MA,Massachusetts,MA-7-A-T,pt
Portuguese - Lowell MA,Massachusetts,MA-7-A-T,pt
Portuguese - New Bedford MA,Massachusetts,MA-7-A-T,pt
Portuguese - Randolph MA,Massachusetts,MA-7-A-T,pt
Portuguese - Saugus MA,Massachusetts,MA-7-A-T,pt
Portuguese - Taunton MA,Massachusetts,MA-7-A-T,pt
Portuguese - Worcester MA,Massachusetts,MA-7-A-T,pt
Quincy - MA,Massachusetts,MA-2,en
Quinebaug Valley - Southbridge MA,Massachusetts,,en
Quinebaugh Valley - Southbridge MA,Massachusetts,MA-9,en
Rockland - MA,Massachusetts,MA-2,en
Russian - Boston MA,Massachusetts,NY-45-U,ru
Salem - MA,Massachusetts,MA-1,en
Sandwich - MA,Massachusetts,MA-8,en
Seekonk - MA,Massachusetts,,en
Sharon - MA,Massachusetts,MA-11,en
Shawmut - Boston MA,Massachusetts,MA-2,en
Shelbourne Falls - MA,Massachusetts,MA-3,en
Shelburne Falls - MA,Massachusetts,,en
Sign Language - Boston MA,Massachusetts,,ase
Sign Language - Lawrence MA,Massachusetts,NY-42-B-ASL,ase
South - Haverhill MA,Massachusetts,ME-2,en
South End - Boston MA,Massachusetts,MA-2,en
South English - Worcester MA,Massachusetts,MA-13,en
South Haitian Creole - Boston MA,Massachusetts,MA-14-CR,ht
South Kabuverdianu - Brockton MA,Massachusetts,MA-7-B-KBV,kea
South Spanish - Lawrence MA,Massachusetts,MA-10-S,es
South Spanish - Springfield MA,Massachusetts,MA-15-S,es
South Spanish - Worcester MA,Massachusetts,MA-15-S,es
Southeast Spanish - Lawrence MA,Massachusetts,MA-10-S,es
Spanish - Brockton MA,Massachusetts,MA-6-S,es
Spanish - Chicopee MA,Massachusetts,MA-15-S,es
Spanish - Fitchburg MA,Massachusetts,MA-15-S,es
Spanish - Framingham MA,Massachusetts,MA-15-S,es
Spanish - Haverhill MA,Massachusetts,MA-10-S,es
Spanish - Leominster MA,Massachusetts,MA-15-S,es
Spanish - Lowell MA,Massachusetts,MA-10-S,es
Spanish - Lynn MA,Massachusetts,MA-10-S,es
Spanish - Methuen MA,Massachusetts,MA-10-S,es
Spanish - New Bedford MA,Massachusetts,MA-6-S,es
Spanish - Newton MA,Massachusetts,MA-15-S,es
Spanish - Northborough MA,Massachusetts,MA-15-S,es
Spanish - Peabody MA,Massachusetts,MA-10-S,es
Spanish - Revere MA,Massachusetts,MA-10-S,es
Spanish - Roxbury MA,Massachusetts,MA-6-S,es
Spanish - Somerville MA,Massachusetts,MA-6-S,es
Spanish Group - Hyannis - MA,Massachusetts,,es
Stoneham - MA,Massachusetts,MA-1,en
Stoughton - MA,Massachusetts,MA-11,en
Summer Haitian Creole - Rockland MA,Massachusetts,MA-14-CR,ht
Swahili Group - Burncoat - Worcester MA,Massachusetts,,sw
Twi - Worcester MA,Massachusetts,NY-49-A-TW,tw
Waquoit - East Falmouth MA,Massachusetts,MA-8,en
Ware - MA,Massachusetts,MA-9,en
Wareham - MA,Massachusetts,MA-8,en
Washington Park - Boston MA,Massachusetts,MA-2,en
Webster - MA,Massachusetts,MA-13,en
West - Chicopee MA,Massachusetts,MA-9,en
West - Falmouth MA,Massachusetts,MA-8,en
West - Lynn MA,Massachusetts,MA-1,en
West - Westfield MA,Massachusetts,MA-3,en
West - Worcester MA,Massachusetts,MA-13,en
West Haitian Creole - Lowell MA,Massachusetts,MA-14-CR,ht
West Haitian Creole - Worcester MA,Massachusetts,MA-14-CR,ht
West Portuguese - Boston MA,Massachusetts,MA-7-A-T,pt
West Spanish - Springfield MA,Massachusetts,MA-15-S,es
Whalom - Leominster MA,Massachusetts,NH-1-A,en
Wilmington - MA,Massachusetts,MA-1,en
"Edmundston, NB",NB,,fr
"Fundy Coast, Oak Bay, NB",NB,,en
"Grand Falls, NB",NB,,fr
"Millville, NB",NB,,en
"Nashwaak, Fredericton, NB",NB,,en
"O'Dell Park, Fredericton, NB",NB,,en
"Oromocto, NB",NB,,en
"Perth-Andover, NB",NB,,en
"St Stephen, NB",NB,,en
"Woodstock, NB",NB,,en
Brentwood - NH,New Hampshire,,en
Broad Street Spanish - Nashua NH,New Hampshire,MA-10-S,es
Campton - NH,New Hampshire,NH-2,en
Claremont - NH,New Hampshire,NH-2,en
Colebrook - NH,New Hampshire,,en
Derry - NH,New Hampshire,NH-1-A,en
Derry NH,New Hampshire,,en
Dover - NH,New Hampshire,ME-2,en
East - Concord NH,New Hampshire,NH-2,en
English - Nashua NH,New Hampshire,NH-1-A,en
Exeter - NH,New Hampshire,ME-2,en
Goffstown - NH,New Hampshire,NH-1-A,en
Gorham - NH,New Hampshire,NH-2,en
Hollis - NH,New Hampshire,NH-1-A,en
Hudson - NH,New Hampshire,NH-1-A,en
Keene - NH,New Hampshire,MA-3,en
Lancaster - NH,New Hampshire,NH-2,en
Lebanon - NH,New Hampshire,NH-2,en
Londonderry - NH,New Hampshire,NH-1-A,en
Madison - NH,New Hampshire,NH-2,en
Meredith - NH,New Hampshire,NH-2,en
Merrimack - NH,New Hampshire,NH-1-A,en
Merrimack River Swahili (Congo) - Concord NH,New Hampshire,NY-50-A-SW,sw
North - Franklin NH,New Hampshire,NH-2,en
North - Manchester NH,New Hampshire,NH-1-A,en
North - Rochester NH,New Hampshire,NH-2,en
Pembroke - NH,New Hampshire,NH-2,en
Portsmouth - NH,New Hampshire,ME-2,en
South - Franklin NH,New Hampshire,NH-2,en
South - Manchester NH,New Hampshire,NH-1-A,en
Spanish - Manchester NH,New Hampshire,MA-10-S,es
West - Concord NH,New Hampshire,NH-2,en
West - Manchester NH,New Hampshire,NH-1-A,en
West Swanzey - NH,New Hampshire,MA-3,en
Wilmont - NH,New Hampshire,NH-2,en
Wilmot - NH,New Hampshire,,en
Wilton - NH,New Hampshire,NH-1-A,en
Wolfeboro - NH,New Hampshire,NH-2,en
Woodsville - NH,New Hampshire,NH-2,en
Abbott Korean - Ridgefield NJ,New Jersey,,ko
Absecon - NJ,New Jersey,,en
Ampere - East Orange NJ,New Jersey,,en
Arlington - East Orange NJ,New Jersey,,en
Atco - NJ,New Jersey,,en
Atlantic Spanish - Atlantic City NJ,New Jersey,,es
Bargaintown - NJ,New Jersey,,en
Bargaintown Spanish - Egg Harbor Township NJ,New Jersey,,es
Barrington - NJ,New Jersey,,en
Bayville - NJ,New Jersey,,en
Belvidere - NJ,New Jersey,,en
Bergen Tagalog - Englewood NJ,New Jersey,,tl
Berlin - NJ,New Jersey,,en
Browns Mills - NJ,New Jersey,,en
Cape May - NJ,New Jersey,,en
Carneys Point - NJ,New Jersey,,en
Carteret - NJ,New Jersey,,en
Centerton - Bridgeton NJ,New Jersey,,en
Central - Englewood NJ,New Jersey,,en
Central - Paterson NJ,New Jersey,,en
Central Haitian Creole - Newark NJ,New Jersey,,ht
Central Pidgin (West Africa) - Elizabeth NJ,New Jersey,,pcm
Central Spanish - Elizabeth NJ,New Jersey,,es
Central Spanish - Jersey City NJ,New Jersey,,es
Central Spanish - Newark NJ,New Jersey,,es
Central Spanish - North Bergen NJ,New Jersey,,es
Central Spanish - Passaic NJ,New Jersey,,es
Central Spanish - Paterson NJ,New Jersey,,es
Chambersburg - Trenton NJ,New Jersey,,en
Chancellor Avenue - Newark NJ,New Jersey,,en
Cherry Blossom Spanish - Belleville NJ,New Jersey,,es
Clinton - NJ,New Jersey,,en
Clinton Hill - Newark NJ,New Jersey,,en
Delaware River Portuguese - Phillipsburg NJ,New Jersey,,pt
Delran - NJ,New Jersey,,en
Downtown - Bridgeton NJ,New Jersey,,en
East - Englewood NJ,New Jersey,,en
East - Hackensack NJ,New Jersey,,en
East - Jersey City NJ,New Jersey,,en
East - Toms River NJ,New Jersey,,en
East - Willingboro NJ,New Jersey,,en
East English - Newark NJ,New Jersey,,en
East English - Passaic NJ,New Jersey,,en
East Spanish - Newark NJ,New Jersey,,es
East Spanish - North Bergen NJ,New Jersey,,es
East Spanish - Passaic NJ,New Jersey,,es
East Spanish - Paterson NJ,New Jersey,,es
East Spanish - Union City NJ,New Jersey,,es
Egg Harbor City - NJ,New Jersey,,en
Elmwood - East Orange NJ,New Jersey,,en
English - Atlantic City NJ,New Jersey,,en
English - Bayonne NJ,New Jersey,,en
English - Burlington NJ,New Jersey,,en
English - Cherry Hill NJ,New Jersey,,en
English - Cranford NJ,New Jersey,,en
English - Dover NJ,New Jersey,,en
English - Garfield NJ,New Jersey,,en
English - Hackettstown NJ,New Jersey,,en
English - Lyndhurst NJ,New Jersey,,en
English - Mahwah NJ,New Jersey,,en
English - Maple Shade NJ,New Jersey,,en
English - Moorestown NJ,New Jersey,,en
English - Morristown NJ,New Jersey,,en
English - Mount Holly NJ,New Jersey,,en
English - North Bergen NJ,New Jersey,,en
English - Perth Amboy NJ,New Jersey,,en
English - Rahway NJ,New Jersey,,en
English - Ridgefield NJ,New Jersey,,en
English - Springfield NJ,New Jersey,,en
English - Tuckerton NJ,New Jersey,,en
English - Union City NJ,New Jersey,,en
English - Vineland NJ,New Jersey,,en
English - West New York NJ,New Jersey,,en
English - Woodcliff Lake NJ,New Jersey,,en
Erial - NJ,New Jersey,,en
Fair Lawn - NJ,New Jersey,,en
Fountain Woods Haitian Creole - Burlington NJ,New Jersey,,ht
Franklin - NJ,New Jersey,,en
Franklinville - NJ,New Jersey,,en
Georgian Group - Russian - Springfield NJ,New Jersey,,ka
Glassboro - NJ,New Jersey,,en
Glasstown Spanish - Vineland NJ,New Jersey,,es
Glenwood - East Orange NJ,New Jersey,,en
Golfwood Spanish - Carneys Point NJ,New Jersey,,es
Haddonfield - NJ,New Jersey,,en
Haitian Creole - Hamilton NJ,New Jersey,,ht
Haitian Creole - Irvington NJ,New Jersey,,ht
Haitian Creole - Newark NJ,New Jersey,,ht
Haitian Creole - Verona NJ,New Jersey,,ht
Hamilton - Trenton NJ,New Jersey,,en
Hamilton Spanish - Trenton NJ,New Jersey,,es
Harrison - NJ,New Jersey,,en
Hawthorne - NJ,New Jersey,,en
Hilltop - Blackwood NJ,New Jersey,,en
Hindi - Jersey City NJ,New Jersey,,hi
Hudson Tagalog - Jersey City NJ,New Jersey,,tl
Italian - Ridgefield NJ,New Jersey,,it
Ivy Hill - Newark NJ,New Jersey,,en
Jamaican Creole Group - South - Montclair NJ,New Jersey,,jam
Japanese - Woodcliff Lake NJ,New Jersey,,ja
Klockner Twi - Hamilton NJ,New Jersey,,tw
Lake Hiawatha - NJ,New Jersey,,en
Lakeview Spanish - Clifton NJ,New Jersey,,es
